CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,5245.3000658398005,2.482534153247273e-16,0,b'2               ',b'2               ',12.778625425294628,21.40109087501587,1,0.0025965516151129756,0,1,0.0,0.0,1617,0.11102954851986675,14,14,7.550155802026992,10.0
1,540.6668346173523,1.1102230246251565e-16,0,b'2               ',b'4               ',16.71740687791252,11.198472052023998,1,0.004467466696500252,0,1,0.0,0.0,1874,0.05440026847712607,14,14,7.513924032537047,10.0
0,3572666788601488.5,2.220446049250313e-16,0,b'NA              ',b'NA              ',24.41435019219288,21.836343842600215,0,0.0001668709497527952,0,1,0.0,0.0,2116,128.54578134644765,14,14,4.774757091862858,10.0
0,2890087.5095423562,1.5700924586837752e-16,0,b'2               ',b'2               ',9.38091631796345,12.94590823765025,0,0.012029077795972074,0,1,0.0,0.0,2117,0.3947778685810054,14,14,8.537257046815991,10.0
0,3.086793044460889e+20,5.551115123125783e-17,0,b'NA              ',b'NA              ',24.971678765344166,24.539847911195892,0,0.0013595731492476314,0,1,0.0,0.0,2147,2321.171462437254,14,14,4.449724333230016,10.0
0,7.65757377104014e+16,0.5282792412067755,0,b'NA              ',b'NA              ',19.570615277183666,11.876063132819846,0,0.001129876875963006,0,1,0.0,0.0,2318,271.7115757133359,14,14,7.30905383570009,10.0
0,3.0487009515574656e+18,0.3960917410431477,0,b'NA              ',b'NA              ',24.03331644443374,8.504457175684596,0,0.000217062782337425,0,1,0.0,0.0,2528,581.3163073982877,14,14,9.652013583983713,10.0
0,1384007197642495.8,1.1443916996305594e-16,0,b'4               ',b'NA              ',20.25386389772256,17.682097586513358,0,0.0014107399615005006,0,1,0.0,0.0,2772,87.37388404289453,14,14,5.153914516336961,10.0
0,150441193067375.7,4.449557262054371e-16,0,b'2               ',b'NA              ',15.596372043070355,15.043052673025674,0,0.02457294874037188,0,1,0.0,0.0,3020,42.788355734008505,14,14,5.131258574597985,10.0
0,72874583990.89406,2.7755575615628914e-16,0,b'NA              ',b'NA              ',17.12488668278216,15.79967531879347,0,0.00014312618545661847,0,1,0.0,0.0,3424,6.6975637191765625,14,14,5.729479933910058,10.0
0,42746342981.39853,1.1102230246251565e-16,0,b'2               ',b'NA              ',21.910643979412587,32.50971984210451,0,0.0002957579555943521,0,1,0.0,0.0,3536,8.465567116063946,14,14,6.001882404050001,9.999999999999998
0,4203316374461339.0,0.5825360560775033,0,b'NA              ',b'NA              ',14.676581537130218,14.719514175920688,0,0.0007641853050310724,0,1,0.0,0.0,3632,137.0298917791708,14,14,6.224596020383208,9.999999999999998
0,1.4902062112639097e+20,0.5541893367201296,0,b'NA              ',b'NA              ',15.400585142600315,9.135227947912883,0,0.0002960567278424854,0,1,0.0,0.0,4073,1548.8051970356173,14,14,9.052872287251907,10.0
0,328457805129.486,0.05325611549838327,0,b'2               ',b'2               ',39.87929197114496,43.71368749867311,0,0.0005581438917694938,0,1,0.0,0.0,4087,19.674637799134203,14,14,3.8626301607299958,10.0
0,1.8443342520272316e+21,0.16023285350011612,0,b'NA              ',b'NA              ',12.956333328486465,12.470789925013776,0,0.0025840088666497186,0,1,0.0,0.0,4156,2252.0916623487237,14,14,6.987576965996861,9.999999999999998
0,85844287833.95227,0.630150593825322,0,b'NA              ',b'4               ',18.998268755723473,5.256055169808489,0,0.00017566046267498438,0,1,0.0,0.0,4229,7.83932919155641,14,14,10.332285410135466,10.0
0,2.464612926543242e+20,0.19656335018651083,0,b'NA              ',b'NA              ',11.913110193020787,11.009172785458647,0,0.002057550661246738,0,1,0.0,0.0,4330,1274.218927334357,14,14,7.737711168526922,9.999999999999998
0,1463.3620458006276,3.7238012298709097e-16,0,b'1-2             ',b'2               ',12.891033053861841,18.06231272127857,1,0.01301609075204185,0,1,0.0,0.0,4560,0.07561430756662087,14,14,6.760225536766998,9.999999999999998
0,4.032243028878671e+16,0.004717933965980303,0,b'NA              ',b'NA              ',36.57569690265419,25.769091508518336,0,0.0007384503282323482,0,1,0.0,0.0,4575,292.7466709035269,14,14,4.405754228138017,9.999999999999998
0,1.1833564045504987e+19,0.7263822783199504,0,b'NA              ',b'NA              ',10.482858479975155,5.662059052043159,0,0.0008751842942884751,0,1,0.0,0.0,4799,832.2000554908012,14,14,15.114737086629631,10.0
