CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,23284124084089.715,1.1102230246251563e-16,0,"b""b'4               '""","b""b'NA              '""",31.911977453774163,27.28950057639108,0,0.0004728476648409,0,1,0.0,0.0,158.0,43.91969372428532,14,14,4.347694356518997,9.999999999999998
0,3.974767336951152e+19,0.0543136163566413,0,"b""b'NA              '""","b""b'NA              '""",5.843894665568412,5.255385442536508,0,0.0001788384043992,0,1,0.0,0.0,326.0,453.8631259720732,14,14,16.329920657199818,9.999999999994836
1,628.1330379580802,0.5821409690116575,0,"b""b'2               '""","b""b'4-8             '""",9.648988683563228,1.4546333136183986,1,0.0015880479140294,0,1,0.0,0.0,695.0,0.0337007454362539,14,13,14.260152693996062,9.999999999999998
1,5402.979047101831,0.9111420275535882,0,"b""b'4               '""","b""b'5-8             '""",3.382412297146853,1.4705013819933446,1,0.000260016410416,0,1,0.0,0.0,858.0,0.1146849959911456,14,13,19.579542968691896,9.999999999999968
0,8.206604008620788e+18,0.6933256319329059,0,"b""b'NA              '""","b""b'NA              '""",10.933213729237698,2.6141345937814187,0,0.0016772731319669,0,1,0.0,0.0,948.0,557.9345709078698,14,14,31.65215448109479,10.0
1,40911.95675220067,2.220446049250313e-16,0,"b""b'4               '""","b""b'4               '""",14.814524180334928,11.755619124168744,0,0.0014548388898049,0,1,0.0,0.0,1260.0,0.1556389182959623,14,14,6.767255533716099,10.0
0,4.119366933397965e+17,0.1163800954147438,0,"b""b'NA              '""","b""b'NA              '""",13.879577496398692,10.596151526237486,0,0.0011133088482637,0,1,0.0,0.0,1413.0,263.4987840401684,14,14,8.02471375928236,10.0
0,4.05567669856552e+18,0.5968617262690872,0,"b""b'NA              '""","b""b'NA              '""",15.031999741206956,11.258749138684978,0,0.0019412156651912,0,1,0.0,0.0,1509.0,714.6884060926144,14,14,7.604365411814874,10.0
0,16633.45336352811,1.5700924586837752e-16,0,"b""b'1-2             '""","b""b'2               '""",17.877467025433873,27.552067552993154,0,0.0052950120544931,0,1,0.0,0.0,1571.0,0.1842973482137717,14,14,5.787868599558998,10.0
0,1.813796132627754e+16,2.7755575615628914e-16,0,"b""b'NA              '""","b""b'NA              '""",18.40078145367993,15.323251315911284,0,0.0022642631754929,0,1,0.0,0.0,1661.0,152.0556824289246,14,14,5.857675885347092,10.0
0,1.6417141161155369e+19,0.4762375952489079,0,"b""b'NA              '""","b""b'NA              '""",9.20016255791934,7.082696429009155,0,0.0232098229371481,0,1,0.0,0.0,1816.0,603.6811008759294,14,14,9.344758393295798,9.999999999999998
1,393126.4638006546,5.551115123125783e-17,0,"b""b'4               '""","b""b'4               '""",13.448782285824493,13.815169809390056,0,0.0018963502621799,0,1,0.0,0.0,1871.0,0.2802940851873139,14,14,7.0393247775080345,10.0
0,1.5264770691329947e+21,0.559566971107293,0,"b""b'NA              '""","b""b'NA              '""",15.841590630453704,14.503203562181032,0,0.0001833633557287,0,1,0.0,0.0,2087.0,3328.2905222647614,14,14,6.19309739456806,10.0
1,152.2012862927679,1.2412670766236366e-16,0,"b""b'4               '""","b""b'4               '""",14.3880432789462,13.03796306906132,1,0.0004963118881824,0,1,0.0,0.0,2629.0,0.0394704390634726,14,14,7.283954870581113,9.999999999999998
1,140.60281478639124,4.47545209131181e-16,0,"b""b'NA              '""","b""b'4               '""",22.56600430098867,13.764098026030553,1,0.0001738569197818,0,1,0.0,0.0,2674.0,0.0470911859741138,14,14,6.3741431891661975,10.0
0,5.629965594908131e+19,0.6128461212638956,0,"b""b'NA              '""","b""b'NA              '""",16.2376588744211,12.454735952642547,0,0.0002879567348798,0,1,0.0,0.0,2913.0,1513.8876502355358,14,14,6.949240277351013,10.0
0,1822432184.4883523,4.965068306494546e-16,0,"b""b'2               '""","b""b'2               '""",28.94731140132308,29.236433667959748,0,0.0007773253613328,0,1,0.0,0.0,3119.0,4.083854704326804,14,14,5.39551491356101,10.0
0,1.2890780022963837e+17,0.6863373769653742,0,"b""b'NA              '""","b""b'NA              '""",16.664269012081927,4.618717389952256,0,0.0092743658504897,0,1,0.0,0.0,3546.0,278.80491368480585,14,14,11.614626258442817,10.0
0,425245227281652.5,0.6300237577539197,0,"b""b'NA              '""","b""b'NA              '""",14.993716175184176,13.284452494471877,0,0.0004694243865149,0,1,0.0,0.0,3638.0,81.19813536569652,14,14,6.661071195653208,10.0
0,149093534209978.0,0.0,0,"b""b'2               '""","b""b'NA              '""",18.64494591553777,15.959505406002316,0,0.0051737318986783,0,1,0.0,0.0,3925.0,46.70535705462419,14,14,5.344389805878986,10.0
0,2.6644336573769187e+21,0.9024715464147052,0,"b""b'NA              '""","b""b'NA              '""",10.616047182450664,9.803882943747764,0,0.004759101690053,0,1,0.0,0.0,4116.0,8650.482845189394,14,14,8.292000059503975,10.0
0,7.415014419761254e+19,0.4284982386258926,0,"b""b'NA              '""","b""b'NA              '""",15.41072391708234,3.1125126418973528,0,0.0030955504413336,0,1,0.0,0.0,4199.0,802.7833960428932,14,14,21.481024567585525,9.999999999999998
